START	bench_2ck0	on 2017 May 14 at 21:29:00
TIME	interaction_energies_for_MAPs_part_HV_98	183.34
TIME	interaction_energies_for_MAPs_part_HV_99	183.16
TIME	interaction_energies_for_MAPs_part_HCDR3_9	73.12
TIME	interaction_energies_for_MAPs_part_HV_89	175.07
TIME	interaction_energies_for_MAPs_part_HCDR3_91	77.26
TIME	interaction_energies_for_MAPs_part_HV_97	185.65
TIME	interaction_energies_for_MAPs_part_HV_8	178.28
TIME	interaction_energies_for_MAPs_part_HV_102	186.42
TIME	interaction_energies_for_MAPs_part_HCDR3_90	76.73
TIME	interaction_energies_for_MAPs_part_HV_96	183.88
TIME	interaction_energies_for_MAPs_part_HCDR3_88	77.15
TIME	interaction_energies_for_MAPs_part_HCDR3_153	79.56
TIME	interaction_energies_for_MAPs_part_HCDR3_14	73.63
TIME	interaction_energies_for_MAPs_part_HCDR3_331	81.59
TIME	interaction_energies_for_MAPs_part_HV_90	182.36
TIME	interaction_energies_for_MAPs_part_HCDR3_333	82.87
TIME	interaction_energies_for_MAPs_part_HV_126	193.16
TIME	interaction_energies_for_MAPs_part_HV_93	181.54
TIME	interaction_energies_for_MAPs_part_HV_92	184.33
TIME	interaction_energies_for_MAPs_part_HV_91	185.33
TIME	interaction_energies_for_MAPs_part_HCDR3_149	81.58
TIME	interaction_energies_for_MAPs_part_HCDR3_145	81.91
TIME	interaction_energies_for_MAPs_part_HCDR3_146	82.92
TIME	interaction_energies_for_MAPs_part_HCDR3_335	83.19
TIME	interaction_energies_for_MAPs_part_HCDR3_13	75.44
TIME	interaction_energies_for_MAPs_part_HCDR3_142	81.21
TIME	interaction_energies_for_MAPs_part_HCDR3_339	82.57
TIME	interaction_energies_for_MAPs_part_HCDR3_337	86.49
TIME	interaction_energies_for_MAPs_part_HCDR3_336	85.59
TIME	interaction_energies_for_MAPs_part_HCDR3_93	85.91
TIME	interaction_energies_for_MAPs_part_HCDR3_338	86.23
TIME	interaction_energies_for_MAPs_part_HCDR3_138	78.41
TIME	interaction_energies_for_MAPs_part_HCDR3_344	80.02
TIME	interaction_energies_for_MAPs_part_HCDR3_341	85.0
TIME	interaction_energies_for_MAPs_part_HCDR3_135	78.95
TIME	interaction_energies_for_MAPs_part_HCDR3_133	79.3
TIME	interaction_energies_for_MAPs_part_HCDR3_134	81.33
TIME	interaction_energies_for_MAPs_part_HCDR3_132	77.02
TIME	interaction_energies_for_MAPs_part_HCDR3_131	79.04
TIME	interaction_energies_for_MAPs_part_HCDR3_342	83.64
TIME	interaction_energies_for_MAPs_part_HCDR3_34	74.48
TIME	interaction_energies_for_MAPs_part_HCDR3_126	81.48
TIME	interaction_energies_for_MAPs_part_HCDR3_124	76.88
TIME	interaction_energies_for_MAPs_part_HCDR3_11	75.84
TIME	interaction_energies_for_MAPs_part_HCDR3_35	74.99
TIME	interaction_energies_for_MAPs_part_HCDR3_351	87.49
TIME	interaction_energies_for_MAPs_part_HCDR3_123	80.25
TIME	interaction_energies_for_MAPs_part_HCDR3_355	84.49
TIME	interaction_energies_for_MAPs_part_HCDR3_121	82.9
TIME	interaction_energies_for_MAPs_part_HCDR3_119	79.48
TIME	interaction_energies_for_MAPs_part_HCDR3_112	78.71
TIME	interaction_energies_for_MAPs_part_HCDR3_115	80.96
TIME	interaction_energies_for_MAPs_part_HCDR3_108	81.56
TIME	interaction_energies_for_MAPs_part_HCDR3_363	85.34
