START	rep1_1ors_01	on 2017 June 10 at 00:06:40
TIME	parts_386_to_386_interaction_energies	205.08
TIME	parts_388_to_388_interaction_energies	194.1
TIME	parts_387_to_387_interaction_energies	197.99
TIME	parts_390_to_390_interaction_energies	197.52
TIME	parts_389_to_389_interaction_energies	196.89
TIME	parts_392_to_392_interaction_energies	198.72
TIME	parts_391_to_391_interaction_energies	202.02
TIME	parts_394_to_394_interaction_energies	197.18
TIME	parts_393_to_393_interaction_energies	197.05
TIME	parts_395_to_395_interaction_energies	195.39
TIME	parts_396_to_396_interaction_energies	199.96
TIME	parts_397_to_397_interaction_energies	198.06
TIME	parts_398_to_398_interaction_energies	203.35
TIME	parts_400_to_400_interaction_energies	200.21
TIME	parts_401_to_401_interaction_energies	197.8
TIME	parts_399_to_399_interaction_energies	197.9
TIME	parts_402_to_402_interaction_energies	191.82
TIME	parts_403_to_403_interaction_energies	191.22
TIME	parts_404_to_404_interaction_energies	200.93
TIME	parts_405_to_405_interaction_energies	206.11
TIME	parts_407_to_407_interaction_energies	191.73
TIME	parts_406_to_406_interaction_energies	199.82
TIME	parts_409_to_409_interaction_energies	197.32
TIME	parts_408_to_408_interaction_energies	197.95
TIME	parts_410_to_410_interaction_energies	201.75
TIME	parts_411_to_411_interaction_energies	204.94
TIME	parts_412_to_412_interaction_energies	195.98
TIME	parts_413_to_413_interaction_energies	197.66
TIME	parts_414_to_414_interaction_energies	197.61
TIME	parts_415_to_415_interaction_energies	204.3
TIME	parts_416_to_416_interaction_energies	197.4
TIME	parts_421_to_421_interaction_energies	190.81
TIME	parts_420_to_420_interaction_energies	196.82
TIME	parts_419_to_419_interaction_energies	199.98
TIME	parts_417_to_417_interaction_energies	203.29
TIME	parts_418_to_418_interaction_energies	194.15
TIME	parts_422_to_422_interaction_energies	200.17
TIME	parts_423_to_423_interaction_energies	199.53
TIME	parts_424_to_424_interaction_energies	205.07
TIME	parts_425_to_425_interaction_energies	196.98
TIME	parts_428_to_428_interaction_energies	199.22
TIME	parts_426_to_426_interaction_energies	198.18
TIME	parts_427_to_427_interaction_energies	199.47
TIME	parts_429_to_429_interaction_energies	199.7
TIME	parts_430_to_430_interaction_energies	201.87
TIME	parts_431_to_431_interaction_energies	194.74
