START	rep1_3ffd_01	on 2017 June 13 at 03:02:31
TIME	parts_523_to_523_interaction_energies	132.51
TIME	parts_544_to_544_interaction_energies	126.42
TIME	parts_527_to_527_interaction_energies	126.34
TIME	parts_526_to_526_interaction_energies	130.24
TIME	parts_530_to_530_interaction_energies	127.39
TIME	parts_529_to_529_interaction_energies	128.96
TIME	parts_533_to_533_interaction_energies	127.22
TIME	parts_531_to_531_interaction_energies	128.42
TIME	parts_532_to_532_interaction_energies	133.05
TIME	parts_534_to_534_interaction_energies	128.08
TIME	parts_535_to_535_interaction_energies	143.02
TIME	parts_539_to_539_interaction_energies	124.48
TIME	parts_538_to_538_interaction_energies	126.63
TIME	parts_540_to_540_interaction_energies	130.62
TIME	parts_559_to_559_interaction_energies	127.2
TIME	parts_541_to_541_interaction_energies	126.29
TIME	parts_561_to_561_interaction_energies	130.42
TIME	parts_543_to_543_interaction_energies	128.66
TIME	parts_542_to_542_interaction_energies	130.72
TIME	parts_545_to_545_interaction_energies	130.74
TIME	parts_547_to_547_interaction_energies	128.35
TIME	parts_548_to_548_interaction_energies	146.47
TIME	parts_549_to_549_interaction_energies	127.09
TIME	parts_550_to_550_interaction_energies	129.37
TIME	parts_552_to_552_interaction_energies	129.15
TIME	parts_551_to_551_interaction_energies	133.57
TIME	parts_554_to_554_interaction_energies	123.54
TIME	parts_553_to_553_interaction_energies	127.62
TIME	parts_555_to_555_interaction_energies	133.72
TIME	parts_573_to_573_interaction_energies	129.11
TIME	parts_557_to_557_interaction_energies	123.76
TIME	parts_556_to_556_interaction_energies	128.64
TIME	parts_558_to_558_interaction_energies	140.88
TIME	parts_560_to_560_interaction_energies	125.25
TIME	parts_525_to_525_interaction_energies	2374.69
TIME	parts_562_to_562_interaction_energies	127.93
TIME	parts_563_to_563_interaction_energies	130.8
TIME	parts_564_to_564_interaction_energies	135.25
TIME	parts_565_to_565_interaction_energies	132.15
TIME	parts_566_to_566_interaction_energies	132.58
TIME	parts_567_to_567_interaction_energies	128.19
