START	rep1_3bky_01	on 2017 June 11 at 10:19:23
TIME	parts_536_to_536_interaction_energies	222.02
TIME	parts_535_to_535_interaction_energies	222.21
TIME	parts_538_to_538_interaction_energies	219.31
TIME	parts_539_to_539_interaction_energies	219.62
TIME	parts_540_to_540_interaction_energies	219.08
TIME	parts_759_to_759_interaction_energies	100.57
TIME	parts_760_to_760_interaction_energies	100.72
TIME	parts_209_to_209_interaction_energies	110.49
TIME	parts_274_to_274_interaction_energies	112.41
TIME	parts_357_to_357_interaction_energies	101.14
TIME	parts_348_to_348_interaction_energies	117.13
TIME	parts_364_to_364_interaction_energies	119.17
TIME	parts_363_to_363_interaction_energies	116.45
TIME	parts_432_to_432_interaction_energies	101.6
TIME	parts_433_to_433_interaction_energies	101.21
TIME	parts_732_to_732_interaction_energies	98.35
TIME	parts_730_to_730_interaction_energies	101.4
TIME	parts_731_to_731_interaction_energies	101.49
TIME	parts_607_to_607_interaction_energies	98.97
TIME	parts_617_to_617_interaction_energies	97.6
TIME	parts_608_to_608_interaction_energies	100.48
TIME	parts_616_to_616_interaction_energies	101.42
TIME	parts_656_to_656_interaction_energies	96.87
TIME	parts_655_to_655_interaction_energies	100.86
TIME	parts_464_to_464_interaction_energies	226.69
TIME	parts_476_to_476_interaction_energies	229.17
TIME	parts_465_to_465_interaction_energies	228.39
TIME	parts_210_to_210_interaction_energies	113.47
TIME	parts_472_to_472_interaction_energies	226.6
TIME	parts_270_to_270_interaction_energies	117.48
TIME	parts_542_to_542_interaction_energies	219.22
TIME	parts_541_to_541_interaction_energies	229.22
TIME	parts_212_to_212_interaction_energies	97.85
TIME	parts_211_to_211_interaction_energies	103.14
TIME	parts_213_to_213_interaction_energies	103.99
TIME	parts_279_to_279_interaction_energies	100.86
TIME	parts_280_to_280_interaction_energies	106.62
TIME	parts_283_to_283_interaction_energies	108.62
TIME	parts_282_to_282_interaction_energies	112.43
