START	bench_3qg6	on 2017 May 12 at 23:38:34
TIME	interaction_energies_for_MAPs_part_HV_133	201.54
TIME	interaction_energies_for_MAPs_part_HV_124	214.66
TIME	interaction_energies_for_MAPs_part_HV_11	196.32
TIME	interaction_energies_for_MAPs_part_HCDR3_72	81.96
TIME	interaction_energies_for_MAPs_part_HV_119	203.07
TIME	interaction_energies_for_MAPs_part_HCDR3_180	89.05
TIME	interaction_energies_for_MAPs_part_HV_106	197.83
TIME	interaction_energies_for_MAPs_part_HV_10	202.05
TIME	interaction_energies_for_MAPs_part_HV_108	200.82
TIME	interaction_energies_for_MAPs_part_HV_105	203.7
TIME	interaction_energies_for_MAPs_part_HV_107	204.16
TIME	interaction_energies_for_MAPs_part_HV_110	209.68
TIME	interaction_energies_for_MAPs_part_HV_80	200.76
TIME	interaction_energies_for_MAPs_part_HJ_3	85.76
TIME	interaction_energies_for_MAPs_part_HJ_4	81.04
TIME	interaction_energies_for_MAPs_part_HV_53	207.89
TIME	interaction_energies_for_MAPs_part_HV_109	215.08
TIME	interaction_energies_for_MAPs_part_HV_47	199.96
TIME	interaction_energies_for_MAPs_part_KCDR3_3	77.97
TIME	interaction_energies_for_MAPs_part_HV_96	206.42
TIME	interaction_energies_for_MAPs_part_KCDR3_41	87.93
TIME	interaction_energies_for_MAPs_part_KCDR3_40	85.6
TIME	interaction_energies_for_MAPs_part_HCDR3_7	76.7
TIME	interaction_energies_for_MAPs_part_HCDR3_81	83.21
TIME	interaction_energies_for_MAPs_part_HV_35	205.21
TIME	interaction_energies_for_MAPs_part_HV_34	205.19
TIME	interaction_energies_for_MAPs_part_HV_33	206.37
TIME	interaction_energies_for_MAPs_part_HV_27	212.98
TIME	interaction_energies_for_MAPs_part_HCDR3_184	87.43
TIME	interaction_energies_for_MAPs_part_HV_22	216.25
TIME	interaction_energies_for_MAPs_part_HV_139	195.85
TIME	interaction_energies_for_MAPs_part_HV_13	196.92
TIME	interaction_energies_for_MAPs_part_HV_140	200.37
TIME	interaction_energies_for_MAPs_part_HCDR3_93	90.2
TIME	interaction_energies_for_MAPs_part_HCDR3_91	87.05
TIME	interaction_energies_for_MAPs_part_HV_98	207.06
TIME	interaction_energies_for_MAPs_part_HV_141	200.93
TIME	interaction_energies_for_MAPs_part_HCDR3_187	92.23
TIME	interaction_energies_for_MAPs_part_HV_18	196.74
TIME	interaction_energies_for_MAPs_part_HV_12	200.28
TIME	interaction_energies_for_MAPs_part_HV_97	200.97
TIME	interaction_energies_for_MAPs_part_HV_130	207.81
TIME	interaction_energies_for_MAPs_part_HV_129	207.98
TIME	interaction_energies_for_MAPs_part_HV_131	210.31
TIME	interaction_energies_for_MAPs_part_HCDR3_183	86.69
TIME	interaction_energies_for_MAPs_part_HV_123	209.15
TIME	interaction_energies_for_MAPs_part_HV_117	202.16
TIME	interaction_energies_for_MAPs_part_HV_118	202.22
TIME	interaction_energies_for_MAPs_part_HV_104	200.34
TIME	interaction_energies_for_MAPs_part_HJ_2	84.1
TIME	interaction_energies_for_MAPs_part_HJ_1	82.21
TIME	interaction_energies_for_MAPs_part_KCDR3_17	1650.47
TIME	interaction_energies_for_MAPs_part_HCDR3_203	84.26
TIME	interaction_energies_for_MAPs_part_HCDR3_208	85.73
TIME	interaction_energies_for_MAPs_part_HCDR3_204	85.27
TIME	interaction_energies_for_MAPs_part_HV_28	204.1
TIME	interaction_energies_for_MAPs_part_HV_17	201.71
TIME	interaction_energies_for_MAPs_part_HCDR3_19	82.44
TIME	interaction_energies_for_MAPs_part_HV_50	203.76
TIME	interaction_energies_for_MAPs_part_HV_51	206.35
TIME	interaction_energies_for_MAPs_part_HV_4	207.96
TIME	interaction_energies_for_MAPs_part_HCDR3_168	86.01
TIME	interaction_energies_for_MAPs_part_HCDR3_199	83.61
TIME	interaction_energies_for_MAPs_part_HCDR3_169	87.02
TIME	interaction_energies_for_MAPs_part_HV_102	204.23
TIME	interaction_energies_for_MAPs_part_HV_101	207.82
TIME	interaction_energies_for_MAPs_part_HV_103	207.29
TIME	interaction_energies_for_MAPs_part_HV_90	201.54
TIME	interaction_energies_for_MAPs_part_HV_91	202.32
TIME	interaction_energies_for_MAPs_part_HV_92	215.39
TIME	interaction_energies_for_MAPs_part_HCDR3_193	89.56
TIME	interaction_energies_for_MAPs_part_HV_32	216.57
TIME	interaction_energies_for_MAPs_part_HV_30	216.07
TIME	interaction_energies_for_MAPs_part_HV_20	204.02
TIME	interaction_energies_for_MAPs_part_HV_19	206.19
TIME	interaction_energies_for_MAPs_part_HV_1	203.93
TIME	interaction_energies_for_MAPs_part_HV_21	211.81
TIME	interaction_energies_for_MAPs_part_HCDR3_182	84.74
TIME	interaction_energies_for_MAPs_part_HCDR3_96	85.37
TIME	interaction_energies_for_MAPs_part_HCDR3_95	86.31
TIME	interaction_energies_for_MAPs_part_HCDR3_94	82.14
TIME	interaction_energies_for_MAPs_part_HCDR3_9	78.61
TIME	interaction_energies_for_MAPs_part_HCDR3_90	82.46
TIME	interaction_energies_for_MAPs_part_HCDR3_153	85.68
TIME	interaction_energies_for_MAPs_part_HCDR3_88	86.44
TIME	interaction_energies_for_MAPs_part_HCDR3_333	93.99
TIME	interaction_energies_for_MAPs_part_HCDR3_331	89.7
TIME	interaction_energies_for_MAPs_part_HV_128	202.38
TIME	interaction_energies_for_MAPs_part_HV_31	211.29
TIME	interaction_energies_for_MAPs_part_HCDR3_128	84.3
TIME	interaction_energies_for_MAPs_part_HV_127	208.91
TIME	interaction_energies_for_MAPs_part_HCDR3_346	94.3
TIME	interaction_energies_for_MAPs_part_HV_122	201.75
TIME	interaction_energies_for_MAPs_part_HV_121	206.28
TIME	interaction_energies_for_MAPs_part_HV_115	197.68
TIME	interaction_energies_for_MAPs_part_HCDR3_35	79.62
TIME	interaction_energies_for_MAPs_part_HCDR3_119	85.12
TIME	interaction_energies_for_MAPs_part_HCDR3_11	83.26
TIME	interaction_energies_for_MAPs_part_HV_114	205.26
TIME	interaction_energies_for_MAPs_part_HCDR3_355	92.89
TIME	interaction_energies_for_MAPs_part_HCDR3_353	97.06
TIME	interaction_energies_for_MAPs_part_HCDR3_212	83.35
TIME	interaction_energies_for_MAPs_part_HCDR3_20	88.81
TIME	interaction_energies_for_MAPs_part_HCDR3_215	88.29
TIME	interaction_energies_for_MAPs_part_HCDR3_209	86.66
TIME	interaction_energies_for_MAPs_part_HCDR3_363	92.95
