START	1nsn_2017-08-24	on 2017 August 24 at 14:46:00
TIME	parts_385_to_385_interaction_energies	128.18
TIME	parts_384_to_384_interaction_energies	130.14
TIME	parts_386_to_386_interaction_energies	130.84
TIME	parts_383_to_383_interaction_energies	136.2
TIME	parts_388_to_388_interaction_energies	129.81
TIME	parts_387_to_387_interaction_energies	134.35
TIME	parts_391_to_391_interaction_energies	138.37
TIME	parts_389_to_389_interaction_energies	137.74
TIME	parts_390_to_390_interaction_energies	137.7
TIME	parts_394_to_394_interaction_energies	133.85
TIME	parts_395_to_395_interaction_energies	136.72
TIME	parts_398_to_398_interaction_energies	135.67
TIME	parts_392_to_392_interaction_energies	134.18
TIME	parts_399_to_399_interaction_energies	135.37
TIME	parts_393_to_393_interaction_energies	135.37
TIME	parts_400_to_400_interaction_energies	138.5
TIME	parts_403_to_403_interaction_energies	134.01
TIME	parts_404_to_404_interaction_energies	137.65
TIME	parts_396_to_396_interaction_energies	131.81
TIME	parts_401_to_401_interaction_energies	140.95
TIME	parts_397_to_397_interaction_energies	135.14
TIME	parts_402_to_402_interaction_energies	140.8
TIME	parts_405_to_405_interaction_energies	140.43
TIME	parts_406_to_406_interaction_energies	133.72
TIME	parts_410_to_410_interaction_energies	138.82
TIME	parts_411_to_411_interaction_energies	138.84
TIME	parts_413_to_413_interaction_energies	133.64
TIME	parts_415_to_415_interaction_energies	131.13
TIME	parts_416_to_416_interaction_energies	131.1
TIME	parts_418_to_418_interaction_energies	129.16
TIME	parts_414_to_414_interaction_energies	132.87
TIME	parts_412_to_412_interaction_energies	137.09
TIME	parts_419_to_419_interaction_energies	131.08
TIME	parts_417_to_417_interaction_energies	138.5
TIME	parts_423_to_423_interaction_energies	132.74
TIME	parts_409_to_409_interaction_energies	138.94
TIME	parts_408_to_408_interaction_energies	138.81
TIME	parts_407_to_407_interaction_energies	136.01
TIME	parts_421_to_421_interaction_energies	137.8
TIME	parts_420_to_420_interaction_energies	138.03
TIME	parts_422_to_422_interaction_energies	138.81
TIME	parts_424_to_424_interaction_energies	136.32
TIME	parts_426_to_426_interaction_energies	133.72
TIME	parts_425_to_425_interaction_energies	134.35
TIME	parts_430_to_430_interaction_energies	133.43
TIME	parts_429_to_429_interaction_energies	136.72
TIME	parts_431_to_431_interaction_energies	136.89
TIME	parts_427_to_427_interaction_energies	136.62
TIME	parts_428_to_428_interaction_energies	136.63
TIME	parts_432_to_432_interaction_energies	134.65
TIME	parts_433_to_433_interaction_energies	134.74
TIME	parts_434_to_434_interaction_energies	193.46
TIME	parts_435_to_435_interaction_energies	194.74
TIME	parts_436_to_436_interaction_energies	195.71
TIME	parts_437_to_437_interaction_energies	189.6
TIME	parts_441_to_441_interaction_energies	184.82
TIME	parts_442_to_442_interaction_energies	185.36
TIME	parts_443_to_443_interaction_energies	184.96
TIME	parts_438_to_438_interaction_energies	189.51
TIME	parts_444_to_444_interaction_energies	188.04
TIME	parts_440_to_440_interaction_energies	195.6
TIME	parts_439_to_439_interaction_energies	196.37
TIME	parts_445_to_445_interaction_energies	195.32
TIME	parts_446_to_446_interaction_energies	189.61
TIME	parts_447_to_447_interaction_energies	191.54
TIME	parts_448_to_448_interaction_energies	190.69
TIME	parts_455_to_455_interaction_energies	191.51
TIME	parts_452_to_452_interaction_energies	194.78
TIME	parts_453_to_453_interaction_energies	195.25
TIME	parts_454_to_454_interaction_energies	195.75
TIME	parts_457_to_457_interaction_energies	191.96
TIME	parts_456_to_456_interaction_energies	192.56
TIME	parts_458_to_458_interaction_energies	195.37
TIME	parts_459_to_459_interaction_energies	195.22
TIME	parts_460_to_460_interaction_energies	194.59
TIME	parts_450_to_450_interaction_energies	199.02
TIME	parts_449_to_449_interaction_energies	199.19
TIME	parts_451_to_451_interaction_energies	199.95
TIME	parts_466_to_466_interaction_energies	194.57
TIME	parts_465_to_465_interaction_energies	195.57
TIME	parts_467_to_467_interaction_energies	195.81
TIME	parts_461_to_461_interaction_energies	191.75
TIME	parts_462_to_462_interaction_energies	192.44
TIME	parts_468_to_468_interaction_energies	189.87
TIME	parts_463_to_463_interaction_energies	192.63
TIME	parts_464_to_464_interaction_energies	192.32
TIME	parts_471_to_471_interaction_energies	186.35
TIME	parts_469_to_469_interaction_energies	190.23
TIME	parts_472_to_472_interaction_energies	190.76
TIME	parts_470_to_470_interaction_energies	195.92
TIME	parts_473_to_473_interaction_energies	189.18
TIME	parts_478_to_478_interaction_energies	188.91
TIME	parts_477_to_477_interaction_energies	190.58
TIME	parts_475_to_475_interaction_energies	197.73
TIME	parts_474_to_474_interaction_energies	197.92
TIME	parts_476_to_476_interaction_energies	201.24
TIME	parts_479_to_479_interaction_energies	188.79
TIME	parts_480_to_480_interaction_energies	190.62
TIME	parts_484_to_484_interaction_energies	190.66
TIME	parts_485_to_485_interaction_energies	192.92
TIME	parts_483_to_483_interaction_energies	194.42
TIME	parts_482_to_482_interaction_energies	194.94
TIME	parts_481_to_481_interaction_energies	193.84
TIME	parts_486_to_486_interaction_energies	194.59
TIME	parts_487_to_487_interaction_energies	195.11
TIME	parts_488_to_488_interaction_energies	197.12
TIME	parts_490_to_490_interaction_energies	201.58
TIME	parts_491_to_491_interaction_energies	201.36
TIME	parts_489_to_489_interaction_energies	201.8
TIME	parts_493_to_493_interaction_energies	199.3
TIME	parts_497_to_497_interaction_energies	190.43
TIME	parts_494_to_494_interaction_energies	199.81
TIME	parts_492_to_492_interaction_energies	200.41
TIME	parts_500_to_500_interaction_energies	188.79
TIME	parts_501_to_501_interaction_energies	188.04
TIME	parts_503_to_503_interaction_energies	187.84
TIME	parts_502_to_502_interaction_energies	189.66
TIME	parts_504_to_504_interaction_energies	197.63
TIME	parts_505_to_505_interaction_energies	191.94
TIME	parts_506_to_506_interaction_energies	191.78
TIME	parts_495_to_495_interaction_energies	194.91
TIME	parts_496_to_496_interaction_energies	195.46
TIME	parts_508_to_508_interaction_energies	196.84
TIME	parts_499_to_499_interaction_energies	195.27
TIME	parts_498_to_498_interaction_energies	196.25
TIME	parts_507_to_507_interaction_energies	197.87
TIME	parts_510_to_510_interaction_energies	186.4
TIME	parts_509_to_509_interaction_energies	197.9
TIME	parts_511_to_511_interaction_energies	190.14
TIME	parts_512_to_512_interaction_energies	189.04
TIME	parts_513_to_513_interaction_energies	189.46
TIME	parts_515_to_515_interaction_energies	192.89
TIME	parts_514_to_514_interaction_energies	194.08
TIME	parts_516_to_516_interaction_energies	195.22
TIME	parts_517_to_517_interaction_energies	194.04
TIME	parts_518_to_518_interaction_energies	196.43
TIME	parts_519_to_519_interaction_energies	194.11
TIME	parts_527_to_527_interaction_energies	185.73
TIME	parts_526_to_526_interaction_energies	190.52
TIME	parts_525_to_525_interaction_energies	195.27
TIME	parts_523_to_523_interaction_energies	196.15
TIME	parts_524_to_524_interaction_energies	196.42
TIME	parts_528_to_528_interaction_energies	186.55
TIME	parts_529_to_529_interaction_energies	186.15
TIME	parts_530_to_530_interaction_energies	190.29
TIME	parts_531_to_531_interaction_energies	193.54
TIME	parts_533_to_533_interaction_energies	190.66
TIME	parts_522_to_522_interaction_energies	194.64
TIME	parts_521_to_521_interaction_energies	195.44
TIME	parts_532_to_532_interaction_energies	192.25
TIME	parts_520_to_520_interaction_energies	195.13
TIME	parts_540_to_540_interaction_energies	186.68
TIME	parts_537_to_537_interaction_energies	194.11
TIME	parts_536_to_536_interaction_energies	194.99
TIME	parts_542_to_542_interaction_energies	190.01
TIME	parts_541_to_541_interaction_energies	196.09
TIME	parts_543_to_543_interaction_energies	188.36
TIME	parts_544_to_544_interaction_energies	187.72
TIME	parts_535_to_535_interaction_energies	191.19
TIME	parts_534_to_534_interaction_energies	191.33
TIME	parts_546_to_546_interaction_energies	193.67
TIME	parts_545_to_545_interaction_energies	192.72
TIME	parts_548_to_548_interaction_energies	196.02
TIME	parts_547_to_547_interaction_energies	194.07
TIME	parts_538_to_538_interaction_energies	190.64
TIME	parts_549_to_549_interaction_energies	194.45
TIME	parts_539_to_539_interaction_energies	190.93
TIME	parts_550_to_550_interaction_energies	193.55
TIME	parts_551_to_551_interaction_energies	184.96
TIME	parts_552_to_552_interaction_energies	189.75
TIME	parts_556_to_556_interaction_energies	187.51
TIME	parts_557_to_557_interaction_energies	185.22
TIME	parts_558_to_558_interaction_energies	187.33
TIME	parts_554_to_554_interaction_energies	194.02
TIME	parts_555_to_555_interaction_energies	194.92
TIME	parts_553_to_553_interaction_energies	195.59
TIME	parts_559_to_559_interaction_energies	191.61
TIME	parts_561_to_561_interaction_energies	191.46
TIME	parts_560_to_560_interaction_energies	191.78
TIME	parts_574_to_574_interaction_energies	134.11
TIME	parts_565_to_565_interaction_energies	190.87
TIME	parts_578_to_578_interaction_energies	137.0
TIME	parts_576_to_576_interaction_energies	136.95
TIME	parts_575_to_575_interaction_energies	136.47
TIME	parts_577_to_577_interaction_energies	137.41
TIME	parts_581_to_581_interaction_energies	136.47
