START	1nsn_2017-08-24_2	on 2017 August 24 at 15:43:08
TIME	parts_372_to_372_interaction_energies	137.11
TIME	parts_375_to_375_interaction_energies	135.4
TIME	parts_374_to_374_interaction_energies	135.82
TIME	parts_377_to_377_interaction_energies	136.81
TIME	parts_376_to_376_interaction_energies	138.29
TIME	parts_378_to_378_interaction_energies	137.19
TIME	parts_379_to_379_interaction_energies	136.88
TIME	parts_383_to_383_interaction_energies	134.87
TIME	parts_380_to_380_interaction_energies	135.61
TIME	parts_381_to_381_interaction_energies	135.98
TIME	parts_382_to_382_interaction_energies	138.03
TIME	parts_384_to_384_interaction_energies	135.22
TIME	parts_385_to_385_interaction_energies	135.75
TIME	parts_386_to_386_interaction_energies	138.12
TIME	parts_387_to_387_interaction_energies	136.94
TIME	parts_388_to_388_interaction_energies	136.67
TIME	parts_389_to_389_interaction_energies	137.57
TIME	parts_390_to_390_interaction_energies	138.14
TIME	parts_392_to_392_interaction_energies	137.38
TIME	parts_391_to_391_interaction_energies	138.62
TIME	parts_393_to_393_interaction_energies	138.42
TIME	parts_395_to_395_interaction_energies	135.18
TIME	parts_394_to_394_interaction_energies	136.9
TIME	parts_396_to_396_interaction_energies	134.3
TIME	parts_397_to_397_interaction_energies	137.4
TIME	parts_398_to_398_interaction_energies	138.2
TIME	parts_399_to_399_interaction_energies	133.28
TIME	parts_400_to_400_interaction_energies	136.72
TIME	parts_401_to_401_interaction_energies	136.01
TIME	parts_403_to_403_interaction_energies	137.18
TIME	parts_407_to_407_interaction_energies	133.2
TIME	parts_402_to_402_interaction_energies	137.34
TIME	parts_405_to_405_interaction_energies	137.14
TIME	parts_406_to_406_interaction_energies	135.96
TIME	parts_404_to_404_interaction_energies	137.65
TIME	parts_409_to_409_interaction_energies	137.15
TIME	parts_408_to_408_interaction_energies	136.83
TIME	parts_410_to_410_interaction_energies	137.74
TIME	parts_411_to_411_interaction_energies	135.87
TIME	parts_413_to_413_interaction_energies	136.27
TIME	parts_412_to_412_interaction_energies	136.51
TIME	parts_415_to_415_interaction_energies	137.06
