START	bench_2or9	on 2017 May 12 at 22:38:03
TIME	interaction_energies_for_MAPs_part_HV_103	104.94
TIME	interaction_energies_for_MAPs_part_HV_102	104.78
TIME	interaction_energies_for_MAPs_part_HV_108	107.16
TIME	interaction_energies_for_MAPs_part_HV_97	104.36
TIME	interaction_energies_for_MAPs_part_HV_96	106.58
TIME	interaction_energies_for_MAPs_part_HV_99	107.76
TIME	interaction_energies_for_MAPs_part_HV_9	107.7
TIME	interaction_energies_for_MAPs_part_HV_98	106.12
TIME	interaction_energies_for_MAPs_part_HCDR3_188	46.04
TIME	interaction_energies_for_MAPs_part_HCDR3_187	45.81
TIME	interaction_energies_for_MAPs_part_HV_8	101.78
TIME	interaction_energies_for_MAPs_part_HV_95	107.61
TIME	interaction_energies_for_MAPs_part_HV_94	107.83
TIME	interaction_energies_for_MAPs_part_HV_90	105.38
TIME	interaction_energies_for_MAPs_part_HCDR3_182	44.34
TIME	interaction_energies_for_MAPs_part_HCDR3_184	47.03
TIME	interaction_energies_for_MAPs_part_HCDR3_183	48.52
TIME	interaction_energies_for_MAPs_part_HCDR3_181	47.68
