START	bench_2g5b	on 2017 May 12 at 22:18:35
TIME	interaction_energies_for_MAPs_part_HV_59	188.44
TIME	interaction_energies_for_MAPs_part_HV_65	190.04
TIME	interaction_energies_for_MAPs_part_HV_5	192.49
TIME	interaction_energies_for_MAPs_part_HV_99	196.45
TIME	interaction_energies_for_MAPs_part_HV_95	195.57
TIME	interaction_energies_for_MAPs_part_HV_89	186.44
TIME	interaction_energies_for_MAPs_part_HV_96	193.26
TIME	interaction_energies_for_MAPs_part_HV_98	195.37
TIME	interaction_energies_for_MAPs_part_HV_97	195.86
TIME	interaction_energies_for_MAPs_part_HV_91	195.9
TIME	interaction_energies_for_MAPs_part_HV_90	198.5
TIME	interaction_energies_for_MAPs_part_HV_8	190.68
TIME	interaction_energies_for_MAPs_part_HV_32	196.3
TIME	interaction_energies_for_MAPs_part_HV_34	195.88
TIME	interaction_energies_for_MAPs_part_HV_36	197.13
TIME	interaction_energies_for_MAPs_part_HV_33	198.51
TIME	interaction_energies_for_MAPs_part_HV_37	197.56
TIME	interaction_energies_for_MAPs_part_HV_35	194.85
TIME	interaction_energies_for_MAPs_part_HV_18	185.46
TIME	interaction_energies_for_MAPs_part_HV_26	201.9
TIME	interaction_energies_for_MAPs_part_HV_106	191.51
TIME	interaction_energies_for_MAPs_part_HCDR3_182	77.59
TIME	interaction_energies_for_MAPs_part_HCDR3_180	83.18
TIME	interaction_energies_for_MAPs_part_HCDR3_181	83.18
TIME	interaction_energies_for_MAPs_part_HCDR3_62	76.77
TIME	interaction_energies_for_MAPs_part_HV_134	197.66
TIME	interaction_energies_for_MAPs_part_HCDR3_75	82.52
TIME	interaction_energies_for_MAPs_part_HCDR3_175	82.04
TIME	interaction_energies_for_MAPs_part_HV_124	190.54
TIME	interaction_energies_for_MAPs_part_HCDR3_174	82.52
TIME	interaction_energies_for_MAPs_part_HV_128	193.05
TIME	interaction_energies_for_MAPs_part_HV_129	195.07
TIME	interaction_energies_for_MAPs_part_HCDR3_74	80.26
TIME	interaction_energies_for_MAPs_part_HV_123	193.73
TIME	interaction_energies_for_MAPs_part_HCDR3_171	82.16
TIME	interaction_energies_for_MAPs_part_HV_122	193.14
TIME	interaction_energies_for_MAPs_part_HV_121	193.88
TIME	interaction_energies_for_MAPs_part_HV_127	194.55
TIME	interaction_energies_for_MAPs_part_HV_11	190.02
TIME	interaction_energies_for_MAPs_part_HV_119	192.9
TIME	interaction_energies_for_MAPs_part_HV_110	194.45
TIME	interaction_energies_for_MAPs_part_HV_112	193.57
TIME	interaction_energies_for_MAPs_part_HV_111	196.09
TIME	interaction_energies_for_MAPs_part_HV_67	191.91
TIME	interaction_energies_for_MAPs_part_HV_71	189.6
TIME	interaction_energies_for_MAPs_part_HV_70	185.85
TIME	interaction_energies_for_MAPs_part_HV_69	188.22
TIME	interaction_energies_for_MAPs_part_HV_68	187.98
TIME	interaction_energies_for_MAPs_part_HV_6	191.15
TIME	interaction_energies_for_MAPs_part_HJ_3	78.57
TIME	interaction_energies_for_MAPs_part_HJ_2	77.43
