START	rep1_3l5w_01	on 2017 June 09 at 21:33:45
TIME	parts_207_to_207_interaction_energies	173.64
TIME	parts_339_to_339_interaction_energies	179.85
TIME	parts_338_to_338_interaction_energies	183.6
TIME	parts_521_to_521_interaction_energies	259.31
TIME	parts_434_to_434_interaction_energies	255.79
TIME	parts_344_to_344_interaction_energies	177.87
TIME	parts_343_to_343_interaction_energies	179.66
TIME	parts_371_to_371_interaction_energies	165.46
TIME	parts_370_to_370_interaction_energies	167.88
TIME	parts_537_to_537_interaction_energies	260.33
TIME	parts_395_to_395_interaction_energies	167.58
TIME	parts_270_to_270_interaction_energies	180.83
TIME	parts_416_to_416_interaction_energies	167.4
TIME	parts_462_to_462_interaction_energies	257.59
TIME	parts_474_to_474_interaction_energies	258.15
TIME	parts_385_to_385_interaction_energies	162.55
TIME	parts_511_to_511_interaction_energies	261.46
TIME	parts_318_to_318_interaction_energies	175.54
TIME	parts_317_to_317_interaction_energies	175.68
TIME	parts_386_to_386_interaction_energies	169.93
TIME	parts_518_to_518_interaction_energies	255.18
TIME	parts_396_to_396_interaction_energies	163.45
TIME	parts_156_to_156_interaction_energies	175.67
TIME	parts_254_to_254_interaction_energies	169.34
TIME	parts_435_to_435_interaction_energies	257.42
TIME	parts_548_to_548_interaction_energies	263.25
TIME	parts_255_to_255_interaction_energies	172.06
TIME	parts_345_to_345_interaction_energies	179.91
TIME	parts_271_to_271_interaction_energies	173.98
TIME	parts_250_to_250_interaction_energies	173.24
TIME	parts_272_to_272_interaction_energies	178.78
TIME	parts_418_to_418_interaction_energies	163.25
TIME	parts_475_to_475_interaction_energies	265.57
TIME	parts_306_to_306_interaction_energies	172.62
TIME	parts_598_to_598_interaction_energies	167.07
TIME	parts_305_to_305_interaction_energies	182.89
TIME	parts_423_to_423_interaction_energies	170.25
TIME	parts_494_to_494_interaction_energies	262.15
TIME	parts_208_to_208_interaction_energies	174.67
TIME	parts_319_to_319_interaction_energies	176.34
TIME	parts_424_to_424_interaction_energies	168.39
TIME	parts_232_to_232_interaction_energies	176.71
TIME	parts_346_to_346_interaction_energies	166.17
TIME	parts_436_to_436_interaction_energies	260.56
TIME	parts_256_to_256_interaction_energies	174.85
TIME	parts_372_to_372_interaction_energies	167.76
TIME	parts_446_to_446_interaction_energies	256.43
TIME	parts_373_to_373_interaction_energies	168.1
TIME	parts_273_to_273_interaction_energies	169.2
TIME	parts_466_to_466_interaction_energies	262.75
TIME	parts_464_to_464_interaction_energies	265.14
TIME	parts_419_to_419_interaction_energies	165.89
TIME	parts_465_to_465_interaction_energies	267.9
TIME	parts_307_to_307_interaction_energies	175.52
TIME	parts_477_to_477_interaction_energies	252.37
TIME	parts_580_to_580_interaction_energies	168.44
TIME	parts_426_to_426_interaction_energies	172.09
TIME	parts_425_to_425_interaction_energies	174.88
TIME	parts_388_to_388_interaction_energies	165.66
TIME	parts_522_to_522_interaction_energies	257.96
TIME	parts_520_to_520_interaction_energies	256.91
TIME	parts_257_to_257_interaction_energies	169.69
TIME	parts_368_to_368_interaction_energies	168.31
TIME	parts_347_to_347_interaction_energies	177.39
TIME	parts_348_to_348_interaction_energies	179.11
TIME	parts_404_to_404_interaction_energies	171.14
TIME	parts_605_to_605_interaction_energies	170.06
TIME	parts_447_to_447_interaction_energies	258.98
TIME	parts_374_to_374_interaction_energies	165.75
TIME	parts_470_to_470_interaction_energies	261.59
TIME	parts_274_to_274_interaction_energies	171.73
TIME	parts_469_to_469_interaction_energies	262.31
TIME	parts_427_to_427_interaction_energies	171.28
TIME	parts_308_to_308_interaction_energies	173.1
TIME	parts_576_to_576_interaction_energies	169.2
TIME	parts_589_to_589_interaction_energies	168.34
TIME	parts_619_to_619_interaction_energies	164.11
TIME	parts_496_to_496_interaction_energies	264.67
TIME	parts_389_to_389_interaction_energies	168.8
TIME	parts_322_to_322_interaction_energies	177.28
TIME	parts_233_to_233_interaction_energies	171.2
TIME	parts_234_to_234_interaction_energies	174.48
TIME	parts_405_to_405_interaction_energies	167.65
TIME	parts_377_to_377_interaction_energies	164.86
TIME	parts_604_to_604_interaction_energies	166.94
TIME	parts_260_to_260_interaction_energies	174.82
TIME	parts_632_to_632_interaction_energies	167.93
TIME	parts_275_to_275_interaction_energies	174.22
TIME	parts_333_to_333_interaction_energies	187.29
TIME	parts_332_to_332_interaction_energies	179.01
TIME	parts_644_to_644_interaction_energies	163.66
TIME	parts_563_to_563_interaction_energies	260.34
TIME	parts_655_to_655_interaction_energies	165.01
TIME	parts_656_to_656_interaction_energies	166.19
TIME	parts_309_to_309_interaction_energies	178.47
TIME	parts_497_to_497_interaction_energies	259.84
TIME	parts_390_to_390_interaction_energies	162.61
TIME	parts_581_to_581_interaction_energies	167.0
TIME	parts_514_to_514_interaction_energies	261.52
TIME	parts_261_to_261_interaction_energies	174.67
TIME	parts_620_to_620_interaction_energies	163.98
TIME	parts_530_to_530_interaction_energies	257.9
TIME	parts_378_to_378_interaction_energies	165.85
TIME	parts_132_to_132_interaction_energies	3158.45
TIME	parts_471_to_471_interaction_energies	260.4
TIME	parts_276_to_276_interaction_energies	174.99
TIME	parts_357_to_357_interaction_energies	167.18
TIME	parts_485_to_485_interaction_energies	260.95
TIME	parts_359_to_359_interaction_energies	181.83
TIME	parts_567_to_567_interaction_energies	260.73
TIME	parts_312_to_312_interaction_energies	166.77
TIME	parts_311_to_311_interaction_energies	180.16
TIME	parts_323_to_323_interaction_energies	163.44
TIME	parts_498_to_498_interaction_energies	264.6
TIME	parts_661_to_661_interaction_energies	165.54
TIME	parts_315_to_315_interaction_energies	3267.43
TIME	parts_369_to_369_interaction_energies	167.33
TIME	parts_515_to_515_interaction_energies	256.43
TIME	parts_592_to_592_interaction_energies	165.95
TIME	parts_628_to_628_interaction_energies	168.9
TIME	parts_379_to_379_interaction_energies	170.55
TIME	parts_597_to_597_interaction_energies	171.87
TIME	parts_538_to_538_interaction_energies	254.53
TIME	parts_472_to_472_interaction_energies	263.58
TIME	parts_486_to_486_interaction_energies	256.99
TIME	parts_362_to_362_interaction_energies	188.85
TIME	parts_637_to_637_interaction_energies	164.87
TIME	parts_429_to_429_interaction_energies	167.32
TIME	parts_428_to_428_interaction_energies	170.24
TIME	parts_363_to_363_interaction_energies	182.0
TIME	parts_499_to_499_interaction_energies	264.22
TIME	parts_326_to_326_interaction_energies	177.87
TIME	parts_397_to_397_interaction_energies	169.32
TIME	parts_657_to_657_interaction_energies	163.86
TIME	parts_672_to_672_interaction_energies	167.31
TIME	parts_531_to_531_interaction_energies	259.42
TIME	parts_382_to_382_interaction_energies	170.88
TIME	parts_451_to_451_interaction_energies	262.63
TIME	parts_452_to_452_interaction_energies	255.84
TIME	parts_601_to_601_interaction_energies	164.68
TIME	parts_539_to_539_interaction_energies	255.44
TIME	parts_473_to_473_interaction_energies	260.54
TIME	parts_291_to_291_interaction_energies	178.87
TIME	parts_610_to_610_interaction_energies	165.25
TIME	parts_680_to_680_interaction_energies	167.7
TIME	parts_487_to_487_interaction_energies	260.46
TIME	parts_638_to_638_interaction_energies	164.96
TIME	parts_611_to_611_interaction_energies	167.1
TIME	parts_500_to_500_interaction_energies	264.36
TIME	parts_660_to_660_interaction_energies	167.47
TIME	parts_516_to_516_interaction_energies	255.31
TIME	parts_674_to_674_interaction_energies	167.14
TIME	parts_617_to_617_interaction_energies	167.33
TIME	parts_442_to_442_interaction_energies	263.46
TIME	parts_445_to_445_interaction_energies	261.72
TIME	parts_532_to_532_interaction_energies	257.84
TIME	parts_453_to_453_interaction_energies	258.11
TIME	parts_540_to_540_interaction_energies	253.75
TIME	parts_553_to_553_interaction_energies	254.22
TIME	parts_488_to_488_interaction_energies	266.63
TIME	parts_430_to_430_interaction_energies	169.78
TIME	parts_613_to_613_interaction_energies	166.35
TIME	parts_641_to_641_interaction_energies	162.88
TIME	parts_502_to_502_interaction_energies	253.6
TIME	parts_335_to_335_interaction_energies	167.02
TIME	parts_336_to_336_interaction_energies	178.84
TIME	parts_591_to_591_interaction_energies	166.3
TIME	parts_454_to_454_interaction_energies	260.21
TIME	parts_593_to_593_interaction_energies	170.43
TIME	parts_536_to_536_interaction_energies	256.86
TIME	parts_542_to_542_interaction_energies	251.57
TIME	parts_551_to_551_interaction_energies	258.75
TIME	parts_541_to_541_interaction_energies	263.95
TIME	parts_561_to_561_interaction_energies	258.66
TIME	parts_449_to_449_interaction_energies	261.92
TIME	parts_433_to_433_interaction_energies	166.97
TIME	parts_492_to_492_interaction_energies	264.08
TIME	parts_495_to_495_interaction_energies	267.23
TIME	parts_337_to_337_interaction_energies	176.05
TIME	parts_523_to_523_interaction_energies	258.64
TIME	parts_519_to_519_interaction_energies	258.49
TIME	parts_569_to_569_interaction_energies	263.09
TIME	parts_570_to_570_interaction_energies	256.84
TIME	parts_668_to_668_interaction_energies	172.24
TIME	parts_571_to_571_interaction_energies	262.74
TIME	parts_552_to_552_interaction_energies	256.45
TIME	parts_562_to_562_interaction_energies	254.91
TIME	parts_734_to_734_interaction_energies	172.46
TIME	parts_748_to_748_interaction_energies	165.22
TIME	parts_478_to_478_interaction_energies	254.36
TIME	parts_564_to_564_interaction_energies	263.22
TIME	parts_622_to_622_interaction_energies	171.1
TIME	parts_749_to_749_interaction_energies	167.09
TIME	parts_503_to_503_interaction_energies	261.3
TIME	parts_648_to_648_interaction_energies	171.04
TIME	parts_528_to_528_interaction_energies	258.0
TIME	parts_583_to_583_interaction_energies	164.05
TIME	parts_457_to_457_interaction_energies	264.63
TIME	parts_455_to_455_interaction_energies	258.56
TIME	parts_684_to_684_interaction_energies	171.06
TIME	parts_573_to_573_interaction_energies	259.75
TIME	parts_543_to_543_interaction_energies	256.04
TIME	parts_699_to_699_interaction_energies	167.77
TIME	parts_713_to_713_interaction_energies	169.93
TIME	parts_544_to_544_interaction_energies	263.73
