START	bench_3etb	on 2017 May 15 at 10:32:43
TIME	interaction_energies_for_MAPs_part_HV_78	140.35
TIME	interaction_energies_for_MAPs_part_HV_79	139.98
TIME	interaction_energies_for_MAPs_part_HV_7	141.17
TIME	interaction_energies_for_MAPs_part_HV_74	130.86
TIME	interaction_energies_for_MAPs_part_HV_72	133.15
TIME	interaction_energies_for_MAPs_part_HV_73	133.12
TIME	interaction_energies_for_MAPs_part_HV_71	133.36
TIME	interaction_energies_for_MAPs_part_HV_70	135.08
TIME	interaction_energies_for_MAPs_part_HV_6	133.09
TIME	interaction_energies_for_MAPs_part_HV_69	136.56
TIME	interaction_energies_for_MAPs_part_HV_62	136.72
TIME	interaction_energies_for_MAPs_part_HV_67	136.25
TIME	interaction_energies_for_MAPs_part_HV_66	136.02
TIME	interaction_energies_for_MAPs_part_HV_68	136.46
TIME	interaction_energies_for_MAPs_part_HV_63	137.21
TIME	interaction_energies_for_MAPs_part_HV_64	136.71
TIME	interaction_energies_for_MAPs_part_HV_65	136.59
TIME	interaction_energies_for_MAPs_part_HV_61	137.79
TIME	interaction_energies_for_MAPs_part_HV_57	134.35
TIME	interaction_energies_for_MAPs_part_HV_55	134.52
TIME	interaction_energies_for_MAPs_part_HV_56	135.41
TIME	interaction_energies_for_MAPs_part_HV_59	135.23
TIME	interaction_energies_for_MAPs_part_HV_60	135.6
TIME	interaction_energies_for_MAPs_part_HV_58	136.72
TIME	interaction_energies_for_MAPs_part_HV_5	136.89
TIME	interaction_energies_for_MAPs_part_HV_54	135.18
TIME	interaction_energies_for_MAPs_part_HV_52	137.02
TIME	interaction_energies_for_MAPs_part_HV_47	136.96
TIME	interaction_energies_for_MAPs_part_HV_53	137.29
TIME	interaction_energies_for_MAPs_part_HV_49	137.46
TIME	interaction_energies_for_MAPs_part_HV_50	137.35
TIME	interaction_energies_for_MAPs_part_HV_4	137.85
TIME	interaction_energies_for_MAPs_part_HV_51	137.81
TIME	interaction_energies_for_MAPs_part_HV_48	137.75
TIME	interaction_energies_for_MAPs_part_HV_3	136.11
TIME	interaction_energies_for_MAPs_part_HV_31	136.65
TIME	interaction_energies_for_MAPs_part_HV_38	136.95
TIME	interaction_energies_for_MAPs_part_HV_39	137.0
TIME	interaction_energies_for_MAPs_part_HV_35	138.57
TIME	interaction_energies_for_MAPs_part_HV_33	138.77
TIME	interaction_energies_for_MAPs_part_HV_34	138.83
TIME	interaction_energies_for_MAPs_part_HV_36	139.76
TIME	interaction_energies_for_MAPs_part_HV_37	139.87
TIME	interaction_energies_for_MAPs_part_HV_32	141.07
TIME	interaction_energies_for_MAPs_part_HV_2	137.2
TIME	interaction_energies_for_MAPs_part_HV_30	140.24
TIME	interaction_energies_for_MAPs_part_HV_29	139.85
TIME	interaction_energies_for_MAPs_part_HV_26	140.5
TIME	interaction_energies_for_MAPs_part_HV_28	139.6
TIME	interaction_energies_for_MAPs_part_HV_27	140.46
TIME	interaction_energies_for_MAPs_part_HV_43	133.95
TIME	interaction_energies_for_MAPs_part_HV_45	134.66
TIME	interaction_energies_for_MAPs_part_HV_46	133.79
TIME	interaction_energies_for_MAPs_part_HV_41	134.0
TIME	interaction_energies_for_MAPs_part_HV_44	133.91
TIME	interaction_energies_for_MAPs_part_HV_42	135.18
TIME	interaction_energies_for_MAPs_part_HV_40	136.79
TIME	interaction_energies_for_MAPs_part_HV_22	144.99
TIME	interaction_energies_for_MAPs_part_HV_23	144.79
TIME	interaction_energies_for_MAPs_part_HV_25	145.27
TIME	interaction_energies_for_MAPs_part_HV_24	144.81
TIME	interaction_energies_for_MAPs_part_HV_21	133.82
TIME	interaction_energies_for_MAPs_part_HV_18	137.19
TIME	interaction_energies_for_MAPs_part_HV_1	137.61
TIME	interaction_energies_for_MAPs_part_HV_20	138.43
TIME	interaction_energies_for_MAPs_part_HV_19	138.55
TIME	interaction_energies_for_MAPs_part_HV_135	132.34
TIME	interaction_energies_for_MAPs_part_HV_141	136.72
TIME	interaction_energies_for_MAPs_part_HV_14	136.79
TIME	interaction_energies_for_MAPs_part_HV_15	136.9
TIME	interaction_energies_for_MAPs_part_HV_16	137.8
TIME	interaction_energies_for_MAPs_part_HV_134	133.82
TIME	interaction_energies_for_MAPs_part_HV_17	137.75
TIME	interaction_energies_for_MAPs_part_HV_130	133.31
TIME	interaction_energies_for_MAPs_part_HV_12	135.06
TIME	interaction_energies_for_MAPs_part_HV_128	135.86
TIME	interaction_energies_for_MAPs_part_HV_129	136.73
TIME	interaction_energies_for_MAPs_part_HV_126	133.65
TIME	interaction_energies_for_MAPs_part_HV_137	137.29
TIME	interaction_energies_for_MAPs_part_HV_139	136.28
TIME	interaction_energies_for_MAPs_part_HV_13	136.9
TIME	interaction_energies_for_MAPs_part_HV_140	136.19
TIME	interaction_energies_for_MAPs_part_HV_138	139.96
TIME	interaction_energies_for_MAPs_part_HV_127	138.59
TIME	interaction_energies_for_MAPs_part_HV_131	141.1
TIME	interaction_energies_for_MAPs_part_HV_132	141.5
TIME	interaction_energies_for_MAPs_part_HV_133	141.43
TIME	interaction_energies_for_MAPs_part_HCDR3_20	99.02
TIME	interaction_energies_for_MAPs_part_HCDR3_204	100.79
TIME	interaction_energies_for_MAPs_part_HCDR3_209	101.08
TIME	interaction_energies_for_MAPs_part_HCDR3_208	101.64
TIME	interaction_energies_for_MAPs_part_HV_125	138.03
TIME	interaction_energies_for_MAPs_part_HV_122	137.51
TIME	interaction_energies_for_MAPs_part_HV_123	137.8
TIME	interaction_energies_for_MAPs_part_HV_124	138.04
TIME	interaction_energies_for_MAPs_part_HJ_3	94.8
TIME	interaction_energies_for_MAPs_part_HJ_4	94.88
TIME	interaction_energies_for_MAPs_part_HJ_2	95.32
TIME	interaction_energies_for_MAPs_part_HJ_5	95.36
TIME	interaction_energies_for_MAPs_part_HJ_1	95.0
TIME	interaction_energies_for_MAPs_part_HV_110	134.93
TIME	interaction_energies_for_MAPs_part_HCDR3_215	97.8
TIME	interaction_energies_for_MAPs_part_HV_113	135.6
TIME	interaction_energies_for_MAPs_part_HV_11	135.49
TIME	interaction_energies_for_MAPs_part_HV_112	135.75
TIME	interaction_energies_for_MAPs_part_HV_111	135.78
TIME	interaction_energies_for_MAPs_part_HV_115	136.09
TIME	interaction_energies_for_MAPs_part_HV_118	137.14
TIME	interaction_energies_for_MAPs_part_HV_116	136.3
TIME	interaction_energies_for_MAPs_part_HV_117	136.71
TIME	interaction_energies_for_MAPs_part_HCDR3_212	96.25
TIME	interaction_energies_for_MAPs_part_HV_119	137.28
TIME	interaction_energies_for_MAPs_part_HV_120	137.56
TIME	interaction_energies_for_MAPs_part_HV_121	137.32
TIME	interaction_energies_for_MAPs_part_HV_114	138.56
TIME	interaction_energies_for_MAPs_part_HV_10	134.4
TIME	interaction_energies_for_MAPs_part_HV_109	135.72
TIME	interaction_energies_for_MAPs_part_HV_107	136.21
TIME	interaction_energies_for_MAPs_part_HV_108	136.22
TIME	interaction_energies_for_MAPs_part_HV_105	137.21
TIME	interaction_energies_for_MAPs_part_HV_104	136.95
TIME	interaction_energies_for_MAPs_part_HV_103	137.42
TIME	interaction_energies_for_MAPs_part_HV_9	137.36
TIME	interaction_energies_for_MAPs_part_HV_102	137.92
TIME	interaction_energies_for_MAPs_part_HV_106	137.68
TIME	interaction_energies_for_MAPs_part_HV_101	138.46
TIME	interaction_energies_for_MAPs_part_HV_100	138.33
TIME	interaction_energies_for_MAPs_part_HV_89	136.23
TIME	interaction_energies_for_MAPs_part_HV_96	139.25
TIME	interaction_energies_for_MAPs_part_HV_95	139.05
TIME	interaction_energies_for_MAPs_part_HV_99	139.81
TIME	interaction_energies_for_MAPs_part_HV_98	139.92
TIME	interaction_energies_for_MAPs_part_HV_97	140.24
TIME	interaction_energies_for_MAPs_part_HV_93	138.08
TIME	interaction_energies_for_MAPs_part_HV_8	137.73
TIME	interaction_energies_for_MAPs_part_HV_94	139.58
TIME	interaction_energies_for_MAPs_part_HV_92	139.23
TIME	interaction_energies_for_MAPs_part_HV_91	139.6
TIME	interaction_energies_for_MAPs_part_HV_90	139.32
TIME	interaction_energies_for_MAPs_part_HCDR3_203	94.64
TIME	interaction_energies_for_MAPs_part_HCDR3_1	95.31
TIME	interaction_energies_for_MAPs_part_HCDR3_19	97.09
TIME	interaction_energies_for_MAPs_part_HCDR3_199	98.72
TIME	interaction_energies_for_MAPs_part_HCDR3_194	99.24
TIME	interaction_energies_for_MAPs_part_HCDR3_193	95.64
TIME	interaction_energies_for_MAPs_part_HCDR3_189	94.99
TIME	interaction_energies_for_MAPs_part_HCDR3_183	94.8
TIME	interaction_energies_for_MAPs_part_HCDR3_192	98.61
TIME	interaction_energies_for_MAPs_part_HCDR3_182	95.69
TIME	interaction_energies_for_MAPs_part_HCDR3_181	96.69
TIME	interaction_energies_for_MAPs_part_HCDR3_180	97.98
TIME	interaction_energies_for_MAPs_part_HCDR3_18	97.0
TIME	interaction_energies_for_MAPs_part_HCDR3_187	98.7
TIME	interaction_energies_for_MAPs_part_HCDR3_184	98.51
TIME	interaction_energies_for_MAPs_part_HCDR3_188	99.42
TIME	interaction_energies_for_MAPs_part_HCDR3_72	94.11
TIME	interaction_energies_for_MAPs_part_HCDR3_75	97.13
TIME	interaction_energies_for_MAPs_part_HCDR3_69	95.74
TIME	interaction_energies_for_MAPs_part_HCDR3_63	96.37
TIME	interaction_energies_for_MAPs_part_HCDR3_62	95.68
TIME	interaction_energies_for_MAPs_part_HCDR3_175	97.65
TIME	interaction_energies_for_MAPs_part_HCDR3_174	97.75
TIME	interaction_energies_for_MAPs_part_HCDR3_7	97.9
TIME	interaction_energies_for_MAPs_part_HCDR3_168	102.05
TIME	interaction_energies_for_MAPs_part_HCDR3_164	99.11
TIME	interaction_energies_for_MAPs_part_HCDR3_83	98.5
TIME	interaction_energies_for_MAPs_part_HCDR3_166	98.81
TIME	interaction_energies_for_MAPs_part_HCDR3_169	102.26
TIME	interaction_energies_for_MAPs_part_HCDR3_84	97.51
TIME	interaction_energies_for_MAPs_part_HCDR3_88	95.07
TIME	interaction_energies_for_MAPs_part_HCDR3_167	101.91
TIME	interaction_energies_for_MAPs_part_HCDR3_153	96.43
TIME	interaction_energies_for_MAPs_part_HCDR3_9	94.83
TIME	interaction_energies_for_MAPs_part_HCDR3_331	97.29
TIME	interaction_energies_for_MAPs_part_HCDR3_333	97.74
TIME	interaction_energies_for_MAPs_part_HCDR3_91	97.3
TIME	interaction_energies_for_MAPs_part_HCDR3_14	95.27
TIME	interaction_energies_for_MAPs_part_HCDR3_90	96.99
TIME	interaction_energies_for_MAPs_part_HCDR3_149	98.12
TIME	interaction_energies_for_MAPs_part_HCDR3_147	97.67
TIME	interaction_energies_for_MAPs_part_HCDR3_145	98.69
TIME	interaction_energies_for_MAPs_part_HCDR3_146	98.8
TIME	interaction_energies_for_MAPs_part_HCDR3_335	99.73
TIME	interaction_energies_for_MAPs_part_HCDR3_337	98.09
TIME	interaction_energies_for_MAPs_part_HCDR3_339	98.88
TIME	interaction_energies_for_MAPs_part_HCDR3_142	98.35
TIME	interaction_energies_for_MAPs_part_HCDR3_87	96.04
TIME	interaction_energies_for_MAPs_part_HCDR3_336	99.84
TIME	interaction_energies_for_MAPs_part_HCDR3_94	95.16
TIME	interaction_energies_for_MAPs_part_HCDR3_95	95.75
TIME	interaction_energies_for_MAPs_part_HCDR3_160	96.48
TIME	interaction_energies_for_MAPs_part_HCDR3_93	96.71
TIME	interaction_energies_for_MAPs_part_HCDR3_96	96.61
TIME	interaction_energies_for_MAPs_part_HCDR3_13	95.84
TIME	interaction_energies_for_MAPs_part_HCDR3_162	97.68
TIME	interaction_energies_for_MAPs_part_HCDR3_81	99.51
TIME	interaction_energies_for_MAPs_part_HCDR3_74	100.36
TIME	interaction_energies_for_MAPs_part_HCDR3_134	98.89
TIME	interaction_energies_for_MAPs_part_HCDR3_135	98.13
TIME	interaction_energies_for_MAPs_part_HCDR3_138	98.48
TIME	interaction_energies_for_MAPs_part_HCDR3_171	101.2
TIME	interaction_energies_for_MAPs_part_HCDR3_132	96.99
TIME	interaction_energies_for_MAPs_part_HCDR3_344	99.13
TIME	interaction_energies_for_MAPs_part_HCDR3_338	100.5
TIME	interaction_energies_for_MAPs_part_HCDR3_131	97.7
TIME	interaction_energies_for_MAPs_part_HCDR3_342	100.78
TIME	interaction_energies_for_MAPs_part_HCDR3_341	101.41
TIME	interaction_energies_for_MAPs_part_HCDR3_133	97.99
TIME	interaction_energies_for_MAPs_part_HCDR3_130	97.82
TIME	interaction_energies_for_MAPs_part_HCDR3_346	100.79
