START	rep1_2r0w_01	on 2017 June 13 at 03:05:22
TIME	parts_480_to_480_interaction_energies	180.44
TIME	parts_481_to_481_interaction_energies	178.32
TIME	parts_482_to_482_interaction_energies	189.27
TIME	parts_441_to_441_interaction_energies	3400.61
TIME	parts_484_to_484_interaction_energies	178.91
TIME	parts_483_to_483_interaction_energies	182.06
TIME	parts_485_to_485_interaction_energies	191.03
TIME	parts_486_to_486_interaction_energies	190.12
TIME	parts_487_to_487_interaction_energies	182.37
TIME	parts_470_to_470_interaction_energies	3455.03
TIME	parts_472_to_472_interaction_energies	3455.86
TIME	parts_488_to_488_interaction_energies	203.96
TIME	parts_489_to_489_interaction_energies	188.49
TIME	parts_490_to_490_interaction_energies	202.11
TIME	parts_491_to_491_interaction_energies	204.1
TIME	parts_492_to_492_interaction_energies	189.32
TIME	parts_494_to_494_interaction_energies	193.12
TIME	parts_493_to_493_interaction_energies	199.4
TIME	parts_495_to_495_interaction_energies	187.66
TIME	parts_498_to_498_interaction_energies	189.06
TIME	parts_499_to_499_interaction_energies	193.52
TIME	parts_497_to_497_interaction_energies	194.87
TIME	parts_496_to_496_interaction_energies	213.31
TIME	parts_501_to_501_interaction_energies	182.0
TIME	parts_500_to_500_interaction_energies	197.04
TIME	parts_502_to_502_interaction_energies	181.05
TIME	parts_503_to_503_interaction_energies	195.21
TIME	parts_504_to_504_interaction_energies	196.36
TIME	parts_505_to_505_interaction_energies	183.0
TIME	parts_507_to_507_interaction_energies	186.08
TIME	parts_506_to_506_interaction_energies	188.1
TIME	parts_509_to_509_interaction_energies	185.87
TIME	parts_508_to_508_interaction_energies	199.47
TIME	parts_510_to_510_interaction_energies	186.73
TIME	parts_511_to_511_interaction_energies	187.79
TIME	parts_512_to_512_interaction_energies	188.44
TIME	parts_513_to_513_interaction_energies	187.61
TIME	parts_515_to_515_interaction_energies	181.85
TIME	parts_514_to_514_interaction_energies	191.91
TIME	parts_516_to_516_interaction_energies	181.15
TIME	parts_517_to_517_interaction_energies	180.49
TIME	parts_519_to_519_interaction_energies	183.77
TIME	parts_518_to_518_interaction_energies	194.09
TIME	parts_521_to_521_interaction_energies	180.57
TIME	parts_524_to_524_interaction_energies	184.05
TIME	parts_520_to_520_interaction_energies	181.88
TIME	parts_522_to_522_interaction_energies	184.97
TIME	parts_523_to_523_interaction_energies	185.34
TIME	parts_527_to_527_interaction_energies	181.36
TIME	parts_525_to_525_interaction_energies	185.45
TIME	parts_526_to_526_interaction_energies	188.75
TIME	parts_528_to_528_interaction_energies	186.41
TIME	parts_530_to_530_interaction_energies	181.94
TIME	parts_533_to_533_interaction_energies	181.4
TIME	parts_529_to_529_interaction_energies	183.01
TIME	parts_531_to_531_interaction_energies	189.06
TIME	parts_532_to_532_interaction_energies	193.83
TIME	parts_534_to_534_interaction_energies	192.04
TIME	parts_535_to_535_interaction_energies	195.85
TIME	parts_537_to_537_interaction_energies	178.75
TIME	parts_536_to_536_interaction_energies	181.12
TIME	parts_541_to_541_interaction_energies	183.32
TIME	parts_540_to_540_interaction_energies	186.93
TIME	parts_539_to_539_interaction_energies	189.35
TIME	parts_544_to_544_interaction_energies	176.17
TIME	parts_546_to_546_interaction_energies	179.11
TIME	parts_542_to_542_interaction_energies	181.99
TIME	parts_547_to_547_interaction_energies	183.69
TIME	parts_543_to_543_interaction_energies	182.56
TIME	parts_545_to_545_interaction_energies	182.22
TIME	parts_548_to_548_interaction_energies	183.52
TIME	parts_552_to_552_interaction_energies	181.08
TIME	parts_555_to_555_interaction_energies	180.14
TIME	parts_550_to_550_interaction_energies	182.77
TIME	parts_556_to_556_interaction_energies	181.86
TIME	parts_549_to_549_interaction_energies	189.8
TIME	parts_554_to_554_interaction_energies	190.36
TIME	parts_553_to_553_interaction_energies	201.02
TIME	parts_551_to_551_interaction_energies	210.44
TIME	parts_558_to_558_interaction_energies	174.69
TIME	parts_559_to_559_interaction_energies	176.72
TIME	parts_557_to_557_interaction_energies	181.3
TIME	parts_567_to_567_interaction_energies	182.57
TIME	parts_563_to_563_interaction_energies	186.38
TIME	parts_561_to_561_interaction_energies	184.77
TIME	parts_564_to_564_interaction_energies	190.91
TIME	parts_560_to_560_interaction_energies	183.96
TIME	parts_565_to_565_interaction_energies	187.34
TIME	parts_562_to_562_interaction_energies	189.15
TIME	parts_566_to_566_interaction_energies	193.49
